twitter_id,name,created_at,text
1338093727924019201,StartUpEAC,12/13/20,'RT @Kimiri_Stephen: Africa seems to be in a “wait-and-see-what-happens-in-the-west” cavalier stance on COVID19 vaccination. Misplaced PRIOR…'
1338093727663865857,BommanhalliBBMP,12/13/20,'#sanitise #disinfect your workspace regularly  #COVID19  #coronavirus  #StaySafeStayHealthy https://t.co/8t6Vg7hOf3'
1338093730801184769,sinach_z,12/13/20,'This Covid-19 spare no one. Even an active fit marathon runner.   Wear the mask. Avoid crowded place. Always get in… https://t.co/x1SGXWGK8C'
1338093735146643456,BlackSnowBunny_,12/13/20,'RT @DrFNA: I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial fo…'
1338093738967486465,PalokAich,12/13/20,'This COVID-19 pandemic timeline shows how fast the coronavirus took over our lives https://t.co/qFvAlMdWcX'
1338093740737572864,artoongirl,12/13/20,'RT @MarshaCollier: Is Your Hospital Overwhelmed With #COVID19 Patients? Find Out With This Tool  😷 Using analysis from the Hospitalization…'
1338093742994100226,mac28053359,12/13/20,'@SABCNews It’s also about time that people stopped  trying to make money out of Covid19 and got back to the busines… https://t.co/zaGPqwTPK7'
1338093745066160132,menocaustic,12/13/20,"'The US is following the same path. This is what happens when the incompetent, lying, herd immunity idiots like… https://t.co/R9JNQzwZ6w'"
1338093747951833092,robinmonotti,12/13/20,'@Dr_Ellie @UsforThemUK Why? Because of #BayesTheorem https://t.co/5TJW4Dxm7I'
1338093750464241666,TheeQueenKara,12/13/20,'RT @DrEricDing: Republicans are also so quiet every time one of their own is #COVID19 positive diagnosed or drops into the hospital.   The…'
1338093753010098177,amandajtextiles,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093753165361153,linda_nobull,12/13/20,'Global Fraud !'
1338093756583731200,lille_sonia,12/13/20,'RT @GreatGameIndia: An Austrian parliamentary member exposed the defectiveness of the government’s #COVID19 tests by demonstrating in the p…'
1338093760299855872,CentristRn,12/13/20,"'RT @CentristRn: @CTZebra Hi,😱😢🔽 🚨❤PLEASE HELP IF YOU CAN! ❤🚨⏩DONATE/SHARE😢😷 🏥⏬⤵😷🚨COVID19 RN DENTURE..TYSM!!❤💕💓https://t.co/9kQCmxDdRq https…'"
1338093760346021893,DebiecJacek,12/13/20,'Home confinement during the restricted #COVID19 #lockdown period is related to markedly high levels of parental… https://t.co/BUhDXsd1L6'
1338093767648190467,lovefromsherri,12/13/20,'no bigger army than dr tedros'
1338093771699843072,lara_lazar,12/13/20,"'RT @UnianInfo: #COVAX approves over 8 mln doses of free #COVID19 #vaccine for #Ukraine, official says https://t.co/TANDVsbOyM https://t.co/…'"
1338093772987625472,TheMadEconomis1,12/13/20,'Don’t you just love logic? 😂🤣😂🤣🤣😉🤣🤣'
1338093773348335618,momotchiii,12/13/20,'RT @DeploraVille: In case anyone is still wondering if wearing masks flattens the curve.   Here's a look at the numbers according to the go…'
