,twitter_id,name,created_at,text
133,1338093735146643456,BlackSnowBunny_,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
134,1338093738967486465,PalokAich,12/13/20,this covid19 pandemic timeline shows how fast the coronavirus took over our lives 
135,1338093740737572864,artoongirl,12/13/20,rt  is your hospital overwhelmed with covid19 patients find out with this tool   using analysis from the hospitalization
136,1338093742994100226,mac28053359,12/13/20, its also about time that people stopped  trying to make money out of covid19 and got back to the busines 
137,1338093745066160132,menocaustic,12/13/20,the us is following the same path this is what happens when the incompetent lying herd immunity idiots like 
138,1338093747951833092,robinmonotti,12/13/20,ellie  why because of bayestheorem 
139,1338093750464241666,TheeQueenKara,12/13/20,rt  republicans are also so quiet every time one of their own is covid19 positive diagnosed or drops into the hospital   the
140,1338093753010098177,amandajtextiles,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
141,1338093753165361153,linda_nobull,12/13/20,global fraud 
142,1338093756583731200,lille_sonia,12/13/20,rt  an austrian parliamentary member exposed the defectiveness of the governments covid19 tests by demonstrating in the p
143,1338093760299855872,CentristRn,12/13/20,rt   hi please help if you can donateshare covid19 rn denturetysm 
144,1338093760346021893,DebiecJacek,12/13/20,home confinement during the restricted covid19 lockdown period is related to markedly high levels of parental 
145,1338093767648190467,lovefromsherri,12/13/20,no bigger army than dr tedros
146,1338093771699843072,lara_lazar,12/13/20,rt  covax approves over 8 mln doses of free covid19 vaccine for ukraine official says  
147,1338093772987625472,TheMadEconomis1,12/13/20,dont you just love logic 
148,1338093773348335618,momotchiii,12/13/20,rt  in case anyone is still wondering if wearing masks flattens the curve   heres a look at the numbers according to the go
149,1338093776401797121,linda_nobull,12/13/20,rt  for months now a scientist who worked in the hospital lab on pcr test kept asking   what is the specific identifie
150,1338093777035153408,alkanomega,12/13/20,one of the real science people involved in covid much more sensible than most of sage  the complexity to which 
151,1338093778800943107,greg_lanre,12/13/20,aaaaaaaaaaah he is an arsenal fan now everything falls in place 
152,1338093779530768384,DanielJDrucker,12/13/20,for years the nsc glam journals would reject papers with descriptive observations no mechanism then with acute c 
153,1338093787562708992,airnews_silchar,12/13/20,rt  finmin2020 to ease tax compliance during covid19 the timeline for filing of itr for fy 201920 for individuals etc ha
154,1338093788242137088,11thHourLib,12/13/20,rt  pandemic denialism lunacy all covid19 deniers should have to volunteer  work in the hospital or a morgue themselves w
155,1338093788879872000,Robert__Farkas,12/13/20,rt  dont chase swedish herd strategy as many know  took the careless herd strategy in spring to let the coronavirus run
156,1338093790373031936,JanePowers1,12/13/20,rt   yet careless 76 year old cigar smoking heavy drinking rudy giuliani got covid19 treatment only privilege
157,1338093791257870336,dwinucleo,12/13/20,rt  a brief history of 2020 about covid19 in indonesia
158,1338093791664803841,SigularityHub,12/13/20,rt  4 tips to upgrade your programmatic advertising with machine learning    machinelearning datascienc
159,1338093791459168256,Fitriii70105744,12/13/20,hope you guys can meet treasure makers in person really soon hope covid19 will end   treasure 
160,1338093794412072960,AndrewDHD,12/13/20,rt  should we do a covidpandemic episode  podcast podcasting podernfamily science physics covid19 planetoftheapes
161,1338093797129990144,Olwyn_55,12/13/20,rt  because governments have raided the pension pot  criminals
162,1338093806214930434,RealJohnNightSA,12/13/20,politicians and covid19 has ruined almost everything this year condolence to ur farmily and the yellow nation amp psl 
163,1338093807821352961,ZubairMalikk,12/13/20,rt  defying all sanity in this pandemic the pdm fools are risking peoples lives for their vested interests   covid19 lik
164,1338093809423544320,Ailolailo64,12/13/20,abride lugo 
165,1338093811004628993,RPOBB,12/13/20,negotiations unsuccessful bigmountainmusicfestival2020 to remain shut down bmmf11 covid19 thailand
166,1338093812770631683,YahooIndia,12/13/20,if you have these covid symptoms seek urgent care    covid19 coronavirus
167,1338093812896284675,ABSCBNNews,12/13/20,total covid19 cases among filipinos abroad now at 12308 with 8 new cases 
168,1338093812812570625,ZeeNewsEnglish,12/13/20,covid19 coroanvirus    india may start vaccination in jan expect normal life by oct says siis adar poonawalla  
169,1338093813764648962,NintendoRTER,12/13/20,rt  walmart target and best buy are closed on thanksgiving day heres where you can get black friday deals online instead
170,1338093814397820929,HermioneIsHere,12/13/20,rt   thats how an affinity scam works the con man pretends theyre solving a problem for the mark that the mark u
171,1338093817908645890,Guy8Q,12/13/20,rt   when covid19 arrived many british people were shocked you had to wash your hands more than once a day whet
172,1338093820421009408,StanStaunton,12/13/20,rt  thread just finished friday zoom with my brussels group much to report  first a framing point the summit went all day
173,1338093821050171394,lindquist_lord,12/13/20,  psychological what that might be the most stupid thing ive read today anders tegnell simpl 
174,1338093822170046466,pndabr,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
175,1338093826683113476,WilmsRolf,12/13/20,rt  the key to breaking the chain of transmission is isolation and quarantine of contacts testing will only prevent onward tran
176,1338093827215638530,Melmendi_Ashuba,12/13/20,rt  29 year old marathon runner dies of covid19 please wearamask amp be part of the solution
177,1338093830910914563,ArtsyOma,12/13/20,rt  national lockdowns have proven to be the only thing that gets covid19 under control guess what  it is the fastest wa
178,1338093831883898885,illyrianfields,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
179,1338093832043339776,KottapalliD,12/13/20,rt  medical assistance provided by indianarmy to the people of rafiabad north kashmir amidst covid19 pandemic jaihind ht
180,1338093832978698240,FerretScot,12/13/20,over the year weve covered the impact of the covid19 pandemic on  everyone from private tenants to people who rel 
181,1338093835386310657,SquizzRadical,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
182,1338093837701455877,aswini_18,12/13/20,rt  update on newly detected covid19 cases in the last  24 hrs under the bmc area on 13th dec till 9am 
183,1338093841539362817,Robert__Farkas,12/13/20,rt  2 swedish model for all the deaths that sweden  suffered was it even worth the improved economic benefit as proponen
184,1338093845209378819,futuroerahoy,12/13/20,dedicated to all those still misinformed wear a mask and keep people safe around you your freedom ends where your 
185,1338093853623144449,Holduphalf,12/13/20,everyone help out poor toby young  whose club has lost a court case amp has to pay costs 
186,1338093854298411013,MelissaD_RMT,12/13/20,rt williams sharing with my extended friends and family  a short video summarizing how covid19 mrna vaccines work amp a bit of w
187,1338093854872899584,glenntenney,12/13/20,rt   if a marathonrunning 29year old nurse can die of covid19 anybody can   please mask up distance ventilate the airb
188,1338093856965857280,KottapalliD,12/13/20,rt  32 rr rafiabad army under aegis of kiloforce conducted khairiyat patrol by  by duniwar camp to provide medical aid
189,1338093856672411653,angelovalidiya,12/13/20,  where is the data supporting need of emergency if death thats not since everyone who tests 
190,1338093857511247872,TheCastleView,12/13/20,rt  should we do a covidpandemic episode  podcast podcasting podernfamily science physics covid19 planetoftheapes
191,1338093862397603842,theaudioco,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
192,1338093864784195584,kenkircher1,12/13/20,rt  palestinian workers resisting israels regime of occupation settlercolonialism and apartheid are at heightened risk due
193,1338093871713181697,grustia_aarp,12/13/20,rt  nursing home residents and staff across the country need protection from covid19 demandaction 
194,1338093871985651712,lara_lazar,12/13/20,rt  anyone with flu symptoms to be tested for covid19  healthminister  
195,1338093875886501889,whitehead_davie,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
196,1338093875911647238,robinmonotti,12/13/20, ellie  ever heard of bayestheorem 
197,1338093876146561024,OraProNobis111,12/13/20,rt  freedom of information request to the nhs reveals that no one without any preexisting medical conditions has died from co
198,1338093877249576962,cocoaheath,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
199,1338093879736807424,davykata17,12/13/20,rt  why is he wearing an arsenal jersey  which kain bad luck be dis today of all days eh
200,1338093879980122113,Robert__Farkas,12/13/20,rt  3 25 leading swedish scientists    hoped herd immunity would curb covid19 dont do what we did    approach
201,1338093881703985152,Bra_Tokollo,12/13/20,why aids doesnt have this app track amp tracing nonsense   you gonna implement third wave next yearit has been r 
202,1338093885587922945,waterparks63,12/13/20,rt  due to covid19 ill be blessing the first 450 people to like amp retweet this 500  1500 through cashapp venmo  apple
203,1338093887697674243,EspenSantosh,12/13/20,   genocide  1digitalauthoritarianism3b camerasbigdata facerecinst 
204,1338093893393539072,NortonCreer,12/13/20,rt  ps5 restock heres where and how to buy a playstation 5 this week see more here gt   geforcer
205,1338093897323606017,auntbob,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
206,1338093903384203266,WomynAmazin,12/13/20,rt  pandemic denialism lunacy all covid19 deniers should have to volunteer  work in the hospital or a morgue themselves w
207,1338093905112424451,LLetaparsons,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
208,1338093906542682115,cvonruhland,12/13/20,rt  dear    i have over 40 years experience in the nhs amp have seen the devastating consequences of covid19
209,1338093906785923073,hayrat_jawhax,12/13/20,rt  heres a look back at how covid19 took over 2020 and how society attempted to fight back 
210,1338093915149316105,AweGamers,12/13/20,rt  ps5 restock heres where and how to buy a playstation 5 this week see more here gt   geforcer
211,1338093916281655297,lett_ease,12/13/20,rt  the philippines confirmed 1085 new cases of covid19 on sunday bringing the countrys total to 449400  the philippine he
212,1338093919507079169,lara_lazar,12/13/20,rt  kyiv mayor reports almost 1700 new covid19 cases 23 deaths as of dec 12  
213,1338093920157388806,TallNerdy,12/13/20,rt  hope is a big strategy this is why youll never understand people crowding shilohcovid or not  if covid19 had not m
214,1338093920337575936,sangeeta_hem,12/13/20,rt raii sanctioning of around rs 205 lakh crore loans out of the rs 3 lakh crore by banks to 81 lakh msmes through eclgs under 
215,1338093922841743366,miz_thabz,12/13/20,rt  remember those enthusiastic we should be like sweden chats when people were annoyed at our lockdown
216,1338093924158590977,Withthehelpofm1,12/13/20,rt  heres a look back at how covid19 took over 2020 and how society attempted to fight back 
217,1338093929586016256,humvtum,12/13/20,rt  tourism has also suffered a big setback during covid19 guides drivers small restaurants have lost their regular inc
218,1338093931947577345,CovidFactoid,12/13/20,globally  there are 71810971 confirmed cases of covid19about 11811 of 2009 swine flus estimated total cas 
219,1338093934719848452,SloopDoo,12/13/20, covid19 mismanagement
220,1338093940176691201,buddho_buddho,12/13/20,in light of our reexamination of the test protocol to identify sarscov2 described in the cormandrosten paper w 
221,1338093941288292353,heroesneedmasks,12/13/20,the donts of fabric mask wearing heroeswearmasks heroesneedmasks covid19 
